feature_id,reflection,bin_key,center_row,center_col,detector_x,detector_y,peak_intensity,mean_snr,n_bins,spatial_extent,reason
177,(002),45_6,45,6,249,414,3602.4,268.8,120,41_0 41_1 41_10 41_11 41_2 41_3 41_4 41_5 41_6 41_7 41_8 41_9 42_0 42_1 42_10 42_11 42_12 42_13 42_14 42_15 42_2 42_3 42_4 42_5 42_6 42_7 42_8 42_9 43_0 43_1 43_10 43_11 43_12 43_13 43_2 43_3 43_4 43_5 43_6 43_7 43_8 43_9 44_0 44_1 44_10 44_11 44_12 44_13 44_14 44_2 44_3 44_4 44_5 44_6 44_7 44_8 44_9 45_0 45_1 45_10 45_11 45_12 45_13 45_14 45_2 45_3 45_4 45_5 45_6 45_7 45_8 45_9 46_0 46_1 46_10 46_11 46_12 46_13 46_14 46_2 46_3 46_4 46_5 46_6 46_7 46_8 46_9 47_0 47_1 47_10 47_11 47_12 47_13 47_2 47_3 47_4 47_5 47_6 47_7 47_8 47_9 48_1 48_10 48_11 48_2 48_3 48_4 48_5 48_6 48_7 48_8 48_9 49_4 49_5 49_6 49_7 49_8 50_6 50_7 51_7,"Gaussian-like: 91% monotonic, 120 bins"
178,(012),45_34,45,34,118,475,71.0,14.4,6,43_34 44_34 45_34 45_35 45_36 45_37,"Gaussian-like: 100% monotonic, 6 bins"
179,(012),45_48,45,48,119,473,48.0,10.3,15,42_48 43_48 44_48 44_49 44_53 45_47 45_48 45_49 45_50 45_51 45_52 45_53 45_54 45_55 45_56,"Gaussian-like: 85% monotonic, 15 bins"
180,(111),46_13,46,13,384,617,42.0,13.3,2,46_13 46_14,"Gaussian-like: 100% monotonic, 2 bins"
181,(002),46_15,46,15,249,427,20.2,6.8,2,46_15 46_16,"Gaussian-like: 100% monotonic, 2 bins"
182,(002),46_48,46,48,312,265,25.5,8.2,5,46_48 46_49 47_48 48_48 48_49,"Gaussian-like: 67% monotonic, 5 bins"
183,(001),48_13,48,13,1018,336,20.0,9.8,13,48_13 48_14 48_15 49_13 49_14 49_16 50_13 50_14 50_15 50_16 51_13 51_14 51_15,"Gaussian-like: 77% monotonic, 13 bins"
184,(111),48_14,48,14,383,617,33.0,9.3,2,48_13 48_14,"Gaussian-like: 100% monotonic, 2 bins"
185,(001),48_34,48,34,874,508,14.0,7.2,3,48_33 48_34 48_35,"Gaussian-like: 100% monotonic, 3 bins"
186,(002),48_47,48,47,452,41,10398.1,453.2,335,41_34 41_35 41_48 41_49 41_50 41_53 41_54 41_56 41_58 42_34 42_47 42_48 42_49 42_50 42_51 42_52 42_53 42_54 42_55 42_56 42_57 42_58 42_59 42_60 42_61 42_62 43_33 43_34 43_35 43_36 43_37 43_38 43_39 43_40 43_41 43_42 43_43 43_45 43_46 43_47 43_48 43_49 43_50 43_51 43_52 43_53 43_54 43_55 43_56 43_57 43_59 43_60 43_61 44_33 44_34 44_35 44_36 44_37 44_38 44_39 44_40 44_41 44_42 44_43 44_44 44_45 44_46 44_47 44_48 44_49 44_50 44_51 44_52 44_53 44_54 44_55 44_56 44_57 44_58 44_59 44_60 44_61 44_62 45_31 45_32 45_33 45_34 45_35 45_36 45_37 45_38 45_39 45_40 45_41 45_42 45_43 45_44 45_45 45_46 45_47 45_48 45_49 45_50 45_51 45_52 45_53 45_54 45_55 45_56 45_57 45_58 45_59 45_60 45_61 45_62 46_31 46_32 46_33 46_34 46_35 46_36 46_37 46_38 46_39 46_40 46_41 46_42 46_43 46_44 46_45 46_46 46_47 46_48 46_49 46_50 46_51 46_52 46_53 46_54 46_55 46_56 46_57 46_58 46_59 46_60 46_61 46_62 47_28 47_29 47_30 47_31 47_32 47_33 47_34 47_35 47_36 47_37 47_38 47_39 47_40 47_41 47_42 47_43 47_44 47_45 47_46 47_47 47_48 47_49 47_50 47_51 47_52 47_53 47_54 47_55 47_56 47_57 47_58 47_59 47_60 47_61 47_62 48_24 48_25 48_26 48_27 48_28 48_29 48_30 48_31 48_32 48_33 48_34 48_35 48_36 48_37 48_38 48_39 48_40 48_41 48_42 48_43 48_44 48_45 48_46 48_47 48_48 48_49 48_50 48_51 48_52 48_53 48_54 48_55 48_56 48_57 48_58 48_59 48_60 48_61 48_62 49_24 49_25 49_26 49_27 49_28 49_29 49_30 49_31 49_32 49_33 49_34 49_35 49_36 49_37 49_38 49_39 49_40 49_41 49_42 49_43 49_44 49_45 49_46 49_47 49_48 49_49 49_50 49_51 49_52 49_53 49_54 49_55 49_56 49_57 49_58 49_59 49_60 49_61 49_62 50_23 50_24 50_25 50_26 50_27 50_28 50_29 50_30 50_31 50_32 50_33 50_34 50_35 50_36 50_37 50_38 50_39 50_40 50_41 50_42 50_43 50_44 50_45 50_46 50_47 50_48 50_49 50_50 50_51 50_52 50_53 50_54 50_55 50_56 50_57 50_58 50_59 50_60 50_61 50_62 51_21 51_22 51_23 51_24 51_25 51_26 51_27 51_28 51_29 51_30 51_31 51_32 51_33 51_34 51_35 51_36 51_37 51_38 51_39 51_40 51_41 51_42 51_43 51_44 51_45 51_46 51_47 51_48 51_49 51_50 51_51 51_52 51_53 51_54 51_55,"Gaussian-like: 63% monotonic, 335 bins"
